District Name,Average Daily Attendance,Avg. Salary 2014-15,% Change Since 2008
Alameda Unified,9091,67845,5.9
Albany City Unified,3760,69286,8.1
Castro Valley Unified,9062,75646,16.3
Fremont Unified,33268,83968,11
Hayward Unified,19748,80220,9.5
Livermore Valley Joint Unified,12091,72049,7.7
Newark Unified,6019,80865,11.6
New Haven Unified,11862,88820,10.2
Oakland Unified,35380,58033,7.2
Piedmont City Unified,2631,75836,5.6
San Leandro Unified ,8187,83516,17.8
San Lorenzo Unified,10597,74930,11.9
Dublin Unified,8939,80132,8.4
Pleasanton Unified,14343,89522,9.3
Amador County Unified ,3663,64807,6.8
Biggs Unified,513,52726,-3.4
Chico Unified,11232,64053,1.4
Durham Unified,920,65490,3.7
Oroville City Elementary,2264,73509,4.8
Oroville Union High,2069,68194,14.9
Palermo Union Elementary,1206,66279,9.9
Paradise Unified,3302,60890,5
Gridley Unified,1938,66036,14.1
Bret Harte Union High ,665,85954,17.5
Calaveras Unified,2928,65865,11.1
Mark Twain Union Elementary,776,61627,6.6
Vallecito Union Elementary ,556,68590,6.4
Colusa Unified,1379,64908,7.4
Pierce Joint Unified,1393,64860,16.6
Williams Unified,1295,66228,12.8
Acalanes Union High,5174,83506,10.6
Antioch Unified,16908,72849,13.4
Brentwood Union Elementary,8344,78587,14
Byron Union Elementary,1549,71791,19.6
John Swett Unified,1596,60801,9.2
Knightsen Elementary,509,65257,11
Lafayette Elementary,3427,71828,10.2
Liberty Union High,7575,70972,10.6
Martinez Unified,4040,68298,9.5
Moraga Elementary,1812,68567,9.5
Mt. Diablo Unified,30372,67920,11.2
Oakley Union Elementary,4730,70752,12.6
Orinda Union Elementary,2476,70483,8.4
West Contra Costa Unified,27743,59503,6.6
Walnut Creek Elementary,3488,75458,15.3
Del Norte County Unified,3259,62872,4.3
Buckeye Union Elementary,4550,69931,13
Camino Union Elementary,514,65952,9.6
El Dorado Union High,6442,76036,13.1
Gold Oak Union Elementary,440,61914,6.2
Lake Tahoe Unified,3628,70298,8.8
Pioneer Union Elementary,281,61499,6.3
Placerville Union Elementary,1200,65335,9.6
Pollock Pines Elementary,664,65374,5.2
Rescue Union Elementary,3602,73286,18.3
Black Oak Mine Unified,1070,57977,2.8
Clay Joint Elementary,239,65105,16.6
Clovis Unified,39362,67972,12.2
Coalinga-Huron Joint Unified,4111,66638,8.3
Fowler Unified,2365,63425,12
Fresno Unified,66510,69938,7.4
Kingsburg Elementary Charter,2364,61713,7.7
Kingsburg Joint Union High,1138,75201,15.9
Kings Canyon Joint Unified,9308,65950,4.5
Laton Joint Unified,664,55107,9.8
Sanger Unified,10781,63249,10.7
Firebaugh-Las Deltas Joint Unified,2184,58219,3.8
Central Unified,14861,67520,13.9
Mendota Unified,2973,60776,10.1
Sierra Unified,1228,64739,2.3
Riverdale Joint Unified,1552,62923,12
Caruthers Unified,1365,59122,6.2
Willows Unified,1370,81211,8.8
Orland Joint Unified,2161,60669,7.1
Arcata Elementary,506,58215,1.6
Blue Lake Union Elementary,172,56446,-4.6
Fortuna Union High,998,61991,8.1
Klamath-Trinity Joint Unified,949,59551,8.4
Pacific Union Elementary,509,60425,-1.7
South Bay Union Elementary,515,52525,-8.6
Southern Humboldt Joint Unified,705,50942,-0.3
Brawley Elementary,3740,81787,16.2
Calexico Unified,8847,71352,13.3
Calipatria Unified,1123,64378,16
Central Union High,3880,77415,13
El Centro Elementary,4755,78614,11.9
Heber Elementary,1191,66585,18.3
Holtville Unified,1545,69856,17
Imperial Unified,3802,79628,16.5
McCabe Union Elementary,1330,66299,12.7
Meadows Union Elementary,434,73819,15
Mulberry Elementary,83,47541,2.7
San Pasqual Valley Unified,697,66219,13.6
Seeley Union Elementary,333,69740,8.7
Westmorland Union Elementary,340,65358,12.3
Arvin Union Elementary,2981,69546,18.7
Bakersfield City Elementary,28564,65456,7.1
Beardsley Elementary,1646,58674,12.5
Panama-Buena Vista Union Elementary,16693,67421,6.9
Delano Union Elementary,7406,67184,2.9
Delano Joint Union High,4033,63052,13.7
Edison Elementary,1021,59288,9.7
Elk Hills Elementary,192,51936,-0.5
Fairfax Elementary,2352,62578,16
Fruitvale Elementary,3141,68247,5.2
Greenfield Union Elementary,8939,68583,15.5
Kern Union High,34943,72199,12.5
Kernville Union Elementary,801,59923,3.7
Richland Union Elementary,3360,67857,7.9
Lost Hills Union Elementary ,554,59265,27.5
Midway Elementary ,118,66450,1.8
Mojave Unified,2485,67888,11.9
Muroc Joint Unified,1838,61799,2.1
Rosedale Union Elementary,5215,66726,11.4
Southern Kern Unified,3025,64157,0.3
South Fork Union Elementary,235,62161,12.6
Standard Elementary,2894,68067,10.9
Taft Union High ,989,88975,15.8
Tehachapi Unified,4011,63164,0.9
Wasco Union Elementary,3458,63780,7.8
Wasco Union High,1626,66564,7
Rio Bravo-Greeley Union Elementary,990,62183,7
Sierra Sands Unified,4663,61647,8.8
McFarland Unified,3275,64427,9.7
Armona Union Elementary,980,67170,12.2
Central Union Elementary,1686,77932,6
Corcoran Joint Unified,3118,65618,8
Hanford Elementary,5372,65717,13.3
Hanford Joint Union High,3603,70463,13.7
Lemoore Union Elementary,3093,65257,15.1
