CDS_CODE	COUNTY	DISTRICT	SCHOOL	HISPANIC	AM_IND	ASIAN	PAC_ISLD	FILIPINO	AFRICAN_AM	WHITE	TWO_MORE_RACES	NOT_REPORTED	TOTAL	YEAR
01100170112607	Alameda	Alameda County Office of Education	Envision Academy for Arts & Technology	37	1	2	0	0	24	5	0	0	69	1617
01100170130401	Alameda	Alameda County Office of Education	Alameda County Juvenile Hall/Court	10	0	0	1	1	17	1	4	0	34	1617
01100170130419	Alameda	Alameda County Office of Education	Alameda County Community	34	0	5	1	1	39	6	2	0	88	1617
01316170131763	Alameda	California School for the Deaf-Fremont (State Spec	California School for the Deaf-Fremont	19	0	2	0	4	2	11	2	0	40	1617
01611190000001	Alameda	Alameda Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	1	0	0	0	1	1617
01611190106401	Alameda	Alameda Unified	Alameda Science and Technology Institute	8	0	25	1	6	1	2	1	0	44	1617
01611190119222	Alameda	Alameda Unified	Nea Community Learning Center	4	1	4	0	0	3	3	1	0	16	1617
01611190130229	Alameda	Alameda Unified	Alameda High	38	1	181	2	16	23	131	11	0	403	1617
01611190130609	Alameda	Alameda Unified	Alameda Community Learning Center	8	1	10	0	1	2	15	6	0	43	1617
01611190130625	Alameda	Alameda Unified	Alternatives in Action	26	0	0	0	0	0	0	0	1	27	1617
01611190132142	Alameda	Alameda Unified	Encinal Junior/Senior High	37	0	53	0	44	39	37	19	0	229	1617
01611190134304	Alameda	Alameda Unified	Island High (Continuation)	20	0	6	0	2	7	14	8	0	57	1617
01611270130294	Alameda	Albany City Unified	MacGregor High (Continuation)	2	0	1	0	0	0	0	1	0	4	1617
01611270130450	Alameda	Albany City Unified	Albany High	45	1	75	0	5	15	115	28	0	284	1617
01611430122697	Alameda	Berkeley Unified	REALM Charter High	26	0	1	2	1	17	1	5	1	54	1617
01611430131177	Alameda	Berkeley Unified	Berkeley High	134	0	68	1	10	125	285	78	1	702	1617
01611430134924	Alameda	Berkeley Unified	Berkeley Technology Academy	4	0	0	0	0	5	0	0	0	9	1617
01611500132225	Alameda	Castro Valley Unified	Castro Valley High	155	1	163	4	38	51	210	65	5	692	1617
01611500133876	Alameda	Castro Valley Unified	Castro Valley Virtual Academy	1	0	0	0	0	0	2	0	0	3	1617
01611500135533	Alameda	Castro Valley Unified	Redwood Continuation High	36	0	2	1	0	2	20	0	0	61	1617
01611680132746	Alameda	Emery Unified	Emery Secondary	4	0	5	0	1	17	3	2	0	32	1617
01611760000001	Alameda	Fremont Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	0	1	0	0	1	1617
01611760130062	Alameda	Fremont Unified	American High	49	2	269	8	57	18	77	5	0	485	1617
01611760130138	Alameda	Fremont Unified	Robertson High (Continuation)	29	0	5	2	3	3	16	1	0	59	1617
01611760130435	Alameda	Fremont Unified	Vista Alternative	0	0	1	1	0	2	5	0	0	9	1617
01611760130534	Alameda	Fremont Unified	Circle of Independent Learning	6	0	18	1	1	1	12	1	0	40	1617
01611760134270	Alameda	Fremont Unified	Irvington High	49	0	291	6	36	6	82	4	0	474	1617
01611760134452	Alameda	Fremont Unified	John F. Kennedy High	101	1	93	8	25	24	74	6	0	332	1617
01611760135244	Alameda	Fremont Unified	Mission San Jose High	6	0	427	1	5	2	22	2	0	465	1617
01611760138693	Alameda	Fremont Unified	Washington High	80	2	141	3	28	18	110	10	0	392	1617
